"Gaisano Mall Davao MBI - March 1, 2026",,,,,,,
,,,,,,,
BRAND,THE HEALTHSHOP PRODUCTS,UoM,Content,Ave Unit Cost,Selling Price,QTY,Expiry Date
,,,,,,,
,THS - CHINESE PRODUCTS,,,,,,
HPI,HPI PSYLLIUM HUSH 24 OZ,BOT,, 950.00 ," 1,450.00 ",,
,,,,,,,
,KIRKLAND,,,,,,
KL,C 500 MG 500S,BOT,, 935.00 ," 2,100.00 ",2,9/1/27
KL,C 500 MG 500S PC,PC,500, 1.87 , 5.00 ,479,11/1/27
KL,C 1000 MG 500S,BOT,," 1,100.00 "," 2,600.00 ",7,2/1/29
KL,C 1000 MG 500S PC,PC,500, 2.20 , 7.00 ,565,2/1/29
KL,CALCIUM 600MG+D3 500S,BOT,, 720.31 ," 1,600.00 ",5,4/1/28
KL,CALCIUM 600MG+D3 500S PC,PC,500, 1.44 , 6.00 ,16,4/1/28
KL,CALCIUM CITRATE MAGNESIUM & ZINC 500S,BOT,, 890.25 ," 2,100.00 ",7,4/1/28
KL,CALCIUM CITRATE MAGNESIUM & ZINC 500S PC,PC,500, 1.78 , 6.00 ,168,4/1/28
KL,DAILY MULTI VITAMINS (ADULT) 400S,BOT,, 850.00 ," 1,995.00 ",,
KL,DAILY MULTI VITAMINS (ADULT) 400S PC,PC,400, 2.13 , 7.00 ,284,2/1/27
KL,DAILY MULTI VITAMINS (PLAIN) 500S,BOT,," 1,337.50 "," 2,200.00 ",1,5/1/27
KL,DAILY MULTI VITAMINS (PLAIN) 500S PC,PC,500, 2.67 , 6.00 ,4,11/1/26
KL,E 400 IU 500S,BOT,, 884.17 ," 1,800.00 ",6,10/1/28
KL,E 400 IU 500S PC,PC,500, 1.77 , 5.00 ,437,10/1/28
KL,FISH OIL CONCENTRATE 1000MG 400S,BOT,," 1,372.50 "," 2,750.00 ",6,3/1/27
KL,FISH OIL CONCENTRATE 1000MG 400S PC,PC,400, 3.43 , 8.00 ,266,11/1/27
KL,GLUCOSAMINE 1500MG/CHONDROITIN 1200MG 220'S TABLET,BOT,," 1,380.00 "," 2,800.00 ",,
KL,GLUCOSAMINE 1500MG/CHONDROITIN 1200MG 220'S TABLET PC,PC,220, 6.27 , 15.00 ,,
KL,GLUCOSAMINE 1500MG/CHONDROITIN 1200MG 280'S TABLET,BOT,," 1,430.00 "," 2,950.00 ",2,1/1/29
KL,GLUCOSAMINE 1500MG/CHONDROITIN 1200MG 280'S TABLET PC,PC,280, 5.11 , 15.00 ,383,10/1/28
KL,GLUCOSAMINE HCI 1500MG W/ MSM 1500MG 375S,BOT,," 1,052.03 "," 2,800.00 ",1,9/1/26
KL,GLUCOSAMINE HCI 1500MG W/ MSM 1500MG 375S PC,PC,375, 2.81 , 8.00 ,565,4/1/27
KL,VITAMIN D3 2000 IU 600'S,BOT,, 747.51 ," 2,550.00 ",1,7/1/28
KL,VITAMIN D3 2000 IU 600'S PC,PC,600, 1.25 , 7.00 ,499,4/1/27
KL,SUPER B COMPLEX 500'S,BOT,," 1,011.35 "," 2,550.00 ",,
KL,SUPER B COMPLEX 500'S PC,PC,500, 2.02 , 7.00 ,228,6/1/27
KL,COQ10 300MG 100'S,BOT,," 1,400.00 "," 2,895.00 ",,
KL,COQ10 300MG 100'S PC,PC,100, 14.00 , 30.00 ,,
KL,WILD ALASKAN FISH OIL 230'S,BOT,," 1,600.00 "," 2,990.00 ",,
KL,WILD ALASKAN FISH OIL 230'S PC,PC,230, 6.96 , 15.00 ,19,1/1/27
KL,KRILL OIL 500MG 160'S,BOT,," 1,650.00 "," 2,950.00 ",,
KL,KRILL OIL 500MG 160'S PC,PC,160, 10.31 ,,,
,,,,,,,
,NATURE'S MADE,,,,,,
NM,SUPER B COMPLEX 460'S,BOT,," 1,285.92 "," 2,650.00 ",,
NM,SUPER B COMPLEX 460'S PC,PC,460, 2.80 , 8.00 ,,
NM,MAGNESSIUM 400MG 180s,BOT,," 1,228.75 "," 2,200.00 ",,
NM,MAGNESSIUM 400MG 180s PC,PC,180, 6.83 , 15.00 ,158,8/1/26
NM,MAGNESSIUM CITRATE 250MG 180'S,BOT,," 1,500.00 "," 2,750.00 ",,
NM,MAGNESSIUM CITRATE 250MG 180'S PC,PC,180, 8.33 , 18.00 ,,
NM,FISH OIL 1200MG 200's,BOT,, 650.00 ," 1,759.00 ",,
NM,FISH OIL 1200MG 200's PC,PC,200, 3.25 , 10.00 ,,
NM,FISH OIL 1200MG 300's,BOT,," 1,330.64 "," 2,800.00 ",2,12/31/27
NM,FISH OIL 1200MG 300's PC,PC,300, 4.44 , 12.00 ,298,12/1/27
NM,VITAMIN D3 1000IU 25MCG 650'S,BOT,," 1,223.75 "," 2,500.00 ",,
NM,VITAMIN D3 1000IU 25MCG 650'S PC,PC,650, 1.88 , 5.00 ,,
NM,SUPER C W/ VITAMIN D3 & ZINC 200'S,BOT,," 1,050.00 "," 2,245.00 ",,
NM,SUPER C W/ VITAMIN D3 & ZINC 200'S PC,PC,200, 5.25 , 13.00 ,,
NM,NM POTASSIUM GLUCONATE 100'S,BOT,, 381.50 , 995.00 ,,
NM,CAL/MAG/ZINC 300S TABS,BOT,, 900.00 ," 1,800.00 ",,
NM,CAL/MAG/ZINC 300S TABS PC,PC,300, 3.00 , 8.00 ,,
,,,,,,,
,,,,,,,
,,,,,,,
,TRU NATURE,,,,,,
TN,CRANBERRY 650MG 140,BOT,," 1,600.00 "," 2,995.00 ",,
TN,CRANBERRY 650MG 140'S PC,PC,140, 11.43 , 25.00 ,119,2/1/26
TN,GINKGO BILOBA 120MG 340'S,BOT,," 1,075.00 "," 2,200.00 ",2,2/1/27
TN,GINKGO BILOBA 120MG 340'S PC,PC,340, 3.16 , 9.00 ,108,12/1/26
TN,PROSTATE HEALTH COMPLEX SAW PALMETTO 250'S,BOT,," 2,200.00 "," 4,100.00 ",,
TN,PROSTATE HEALTH COMPLEX SAW PALMETTO 250'S PC,PC,250, 8.80 , 18.00 ,,
,,,,,,,
,OTHER US PRODUCTS,,,,,,
OUS,YOUTHEORY COLLAGEN 290'S,BOT,," 1,000.16 "," 2,350.00 ",,
OUS,YOUTHEORY COLLAGEN 290'S PC,PC,290, 3.45 , 10.00 ,,
OUS,YOUTHEORY COLLAGEN 390'S,BOT,," 1,444.25 "," 2,650.00 ",2,6/1/27
OUS,YOUTHEORY COLLAGEN 390'S PC,PC,390, 3.70 , 9.00 ,360,4/1/27
OUS,YOUTHEORY COLLAGEN 120'S,BOT,, 535.88 ," 1,295.00 ",,
OUS,YOUTHEORY COLLAGEN 160'S,BOT,, 677.86 ," 1,550.00 ",,
OUS,YOUTHEORY COLLAGEN 290'S MEN,BOT,," 1,055.54 "," 2,350.00 ",1,6/1/27
OUS,YOUTHEORY COLLAGEN 290'S MEN PC,PC,290, 3.64 , 10.00 ,66,6/1/28
OUS,OSTEO BIFLEX GLUCO & CHON 200'S,BOT,," 1,575.00 "," 2,950.00 ",,
OUS,OSTEO BIFLEX GLUCO & CHON 200'S PC,PC,200, 7.88 , 18.00 ,,
OTH,PN NEOCELL COLLAGEN W/BIOTIN 330G POWDER,BOT,," 2,990.00 "," 2,990.00 ",,
OUS,YOUTHEORY COLLAGEN 390'S MEN,BOT,," 1,000.00 ",,,
OUS,YOUTHEORY COLLAGEN 390'S MEN PC,PC,390, 2.56 , 9.00 ,,
,,,,,,,
,BODY BUILDING,,,,,,
,MUSCLETECH,,,,,,
OBP,HYDROXYCUT HARDCORE ELITE CAPS 100S,BOT,," 1,150.00 "," 2,650.00 ",,
OBP,HYDROXYCUT HARDCORE ELITE CAPS 100S PC,PC,100, 11.50 , 32.00 ,,
OBP,HYDROXYCUT HARDCORE SUPER ELITE CAPS 120S,BOT,," 1,300.00 "," 3,500.00 ",,
OBP,HYDROXYCUT HARDCORE SUPER ELITE CAPS 120S PC,PC,120, 10.83 , 35.00 ,,
,,,,,,,
,OPTIMUM NUTRITION,,,,,,
ON,AMINO 2222 TABS 160S,BOT,," 1,100.00 "," 1,995.00 ",,
ON,AMINO 2222 TABS 160S PC,PC,160, 6.88 , 18.00 ,,
ON,AMINO 2222 TABS 320'S,BOT,," 1,990.00 "," 3,595.00 ",,
ON,AMINO 2222 TABS 320'S PC,PC,320, 6.22 , 18.00 ,,
ON,CREATINE CAPSULE 200'S,BOT,," 2,370.00 "," 4,360.00 ",,
ON,CREATINE CAPSULE 200'S PC,PC,200, 11.85 , 25.00 ,,
ON,CREATINE CAPSULE 300'S,BOT,," 3,590.00 "," 6,560.00 ",,
ON,CREATINE CAPSULE 300'S PC,PC,300, 11.97 , 25.00 ,,
ON,SERIOUS MASS 6LBS CHOCO,BOT,," 2,170.00 "," 3,990.00 ",,
ON,WHEY PROTEIN 1LB DOUBLE RICH CHOCO,BOT,," 1,100.00 "," 2,600.00 ",,
ON,WHEY PROTEIN 1LB VANILLA ICE CREAM,BOT,," 1,290.00 "," 2,600.00 ",,
ON,WHEY PROTEIN 2LB DOUBLE RICH CHOCO,BOT,," 1,290.00 "," 3,950.00 ",,
ON,WHEY PROTEIN 2LB VANILLA ICE CREAM,BOT,," 2,000.00 "," 3,950.00 ",,
ON,WHEY PROTEIN 2LB FRENCH VANILLA ICE CREAM,BOT,," 2,000.00 "," 3,575.00 ",,
ON,WHEY PROTEIN 2LB COOKIES & CREAM ,BOT,," 1,930.00 "," 3,575.00 ",,
ON,WHEY PROTEIN 2LB EXTREME MILK CHOCOLATE,BOT,," 1,930.00 "," 3,575.00 ",,
ON,WHEY PROTEIN 2LB ROCKY ROAD ,BOT,," 1,930.00 "," 3,575.00 ",,
ON,WHEY PROTEIN 5LB DOUBLE RICH CHOCO,BOT,," 3,740.00 "," 6,750.00 ",,
ON,WHEY PROTIEN 5LB VANILLA ICE CREAM,BOT,," 2,820.00 "," 5,350.00 ",,
ON,WHEY PROTEIN DOUBLE RICH CHOCO 30.4G,PACK,, 120.00 , 240.00 ,,
ON,WHEY PROTEIN EXTREME MILK CHOCO 32G,PACK,, 120.00 , 240.00 ,,
,,,,,,,
,BARLEY PRODUCTS,,,,,,
OLP,AMAZING BARLEY 10'S,BOX,, 550.00 ," 1,000.00 ",7,8/1/27
OLP,AMAZING BARLEY 10'S PC,PC,10, 55.00 , 105.00 ,,
OLP,BARLEY GREEN POWDER 23G,BOT,, 120.00 , 320.00 ,10,7/1/26
OLP,BARLEY GREEN POWDER 25G PREMIUM,BOT,, 84.00 , 275.00 ,,
OLP,SANTE BARLEY 500MG CAPSULE 60'S,BOT,, 371.88 ," 1,050.00 ",,
OLP,SANTE BARLEY 500MG CAPSULE 60'S PC,PC,60, 6.20 , 22.00 ,16,6/1/26
OLP,SANTE BARLEY POWDER JUICE 30'S,BOX,, 750.31 ," 1,695.00 ",,
OLP,SANTE BARLEY POWDER JUICE 30'S PC,PC,30, 25.01 , 60.00 ,,
OLP,SANTE BARLEY FUSION COFFEE 10'S,BOX,, 165.00 , 340.00 ,,
OLP,SANTE BARLEY JUICE 200G (CANISTER),BOT,, 988.36 ," 2,600.00 ",2,12/1/26
OUS,SALVEO BARLEY GRASS 80 GRAMS,PACK,, 735.00 ," 1,300.00 ",9,10/1/27
OUS,SALVEO BARLEY GRASS 240 GRAMS,PACK,," 1,400.00 "," 2,950.00 ",,
,,,,,,,
,WINALITE,,,,,,
