Location,Description,Unit,Quantity,Unit Cost,Suggested Price,Total Value
THS - Gmall Davao,RENOW-D FACIAL CREAM SMALL,BOX,0.00,25.00,40.00,0
THS - Gmall Davao,RHEUMATON CAPSULE 30S,BOT,0.00,200.00,295.00,0
THS - Gmall Davao,SHILINGTONG 100S,BOT,0.00,96.25,120.00,0
THS - Gmall Davao,SHIU DUO WAN,BOT,0.00,150.00,210.00,0
THS - Gmall Davao,SHOU WU PIAN,BOT,0.00,135.63,225.00,0
THS - Gmall Davao,SKIN FIGHTER CREAM,TUBE,58.00,60.00,90.00,3480
THS - Gmall Davao,SKIN HELP 10G,BOX,0.00,100.00,170.00,0
THS - Gmall Davao,SLAKING THIRST (DIABETES PILLS) 50'S,BOT,0.00,150.00,295.00,0
THS - Gmall Davao,SNAKE BONE 12S,BOT,0.00,240.00,395.00,0
THS - Gmall Davao,SNAKE BONE 12S PC,PC,0.00,20.00,33.00,0
THS - Gmall Davao,SNAKE BONE 20S,BOT,0.00,250.00,395.00,0
THS - Gmall Davao,SNAKE BONE 20S PC,PC,0.00,12.50,20.00,0
THS - Gmall Davao,STONE REPELLENT 50S,BOT,0.00,255.00,350.00,0
THS - Gmall Davao,THYROID GLAND CARE 50S,BOT,3.00,225.00,285.00,675
THS - Gmall Davao,THYROID GLAND CARE 36S (GOLDEN DRAGON),BOT,0.00,180.00,275.00,0
THS - Gmall Davao,TONG LIN  90S,BOT,0.00,170.00,295.00,0
THS - Gmall Davao,TOP GEL CREAM SMALL,BOX,2.00,60.00,95.00,120
THS - Gmall Davao,TOP GEL SOAP,BOT,0.00,60.00,100.00,0
THS - Gmall Davao,TOPGEL W/ GINSENG,BOX,0.00,133.00,195.00,0
THS - Gmall Davao,TOPGEL W/ VIT E,BOX,0.00,112.00,180.00,0
THS - Gmall Davao,TORO CUPS 6'S,BOT,0.00,35.00,250.00,0
THS - Gmall Davao,TORO CUPS 6'S PC,PC,0.00,5.83,50.00,0
THS - Gmall Davao,TUNG SHEU PILLS ( COWS HEAD),BOT,12.00,216.00,345.00,2592
THS - Gmall Davao,VIGOROUS - RED CATTLE 15'S,BOT,0.00,70.00,250.00,0
THS - Gmall Davao,VIGOROUS - RED CATTLE 15'S PC,PC,0.00,4.67,30.00,0
THS - Gmall Davao,VIGOROUS - YELLOW 9s,BOT,0.00,60.00,250.00,0
THS - Gmall Davao,VIGOROUS - YELLOW 9s PC,PC,0.00,6.67,30.00,0
